Year,Value
1973,100.0
1974,106.27037258086692
1975,102.4663712536709
1976,98.22981251220084
1977,105.16255600519796
1978,109.32183238998628
1979,109.61085908456272
1980,114.70098703395676
1981,116.73346256586414
1982,119.52274201784168
1983,116.6758028893837
1984,127.5881858408712
1985,122.79273228009588
1986,123.29905277461344
1987,121.78241836469452
1988,121.27602740940316
1989,125.08455083370758
1990,125.81924450188014
1991,129.16723284409036
1992,130.6673240294229
1993,127.53143089454866
1994,128.65708171718225
1995,127.22283119118649
1996,126.233356203138
1997,128.0620280337567
1998,131.21311619244443
1999,136.74188734680362
2000,139.4224875771826
2001,136.75434827314007
2002,144.87498217701588
2003,145.13878226586272
2004,145.63472161512584
2005,150.0376751172821
2006,148.03432043463835
2007,145.80474719017224
2008,151.84535118238708
2009,147.65785925819316
2010,147.06120724587583
2011,153.89271568930624
2012,145.86129409727116
2013,146.33666671572954
2014,155.16837731186143
2015,156.49417387991136
2016,151.5728273917042
2017,156.05317260527133
2018,153.6244374825716
2019,159.76964738827562
