Year,Category,Value
2001,Category 1 (major) incidents,98
2002,Category 1 (major) incidents,76
2003,Category 1 (major) incidents,83
2004,Category 1 (major) incidents,83
2005,Category 1 (major) incidents,73
2006,Category 1 (major) incidents,75
2007,Category 1 (major) incidents,56
2008,Category 1 (major) incidents,59
2009,Category 1 (major) incidents,66
2010,Category 1 (major) incidents,43
2011,Category 1 (major) incidents,41
2012,Category 1 (major) incidents,41
2013,Category 1 (major) incidents,43
2014,Category 1 (major) incidents,53
2015,Category 1 (major) incidents,51
2016,Category 1 (major) incidents,51
2017,Category 1 (major) incidents,42
2018,Category 1 (major) incidents,69
2019,Category 1 (major) incidents,41
2020,Category 1 (major) incidents,47
2001,Category 2 (significant) incidents,736
2002,Category 2 (significant) incidents,693
2003,Category 2 (significant) incidents,618
2004,Category 2 (significant) incidents,505
2005,Category 2 (significant) incidents,495
2006,Category 2 (significant) incidents,461
2007,Category 2 (significant) incidents,380
2008,Category 2 (significant) incidents,314
2009,Category 2 (significant) incidents,361
2010,Category 2 (significant) incidents,294
2011,Category 2 (significant) incidents,320
2012,Category 2 (significant) incidents,250
2013,Category 2 (significant) incidents,324
2014,Category 2 (significant) incidents,307
2015,Category 2 (significant) incidents,274
2016,Category 2 (significant) incidents,266
2017,Category 2 (significant) incidents,220
2018,Category 2 (significant) incidents,245
2019,Category 2 (significant) incidents,225
2020,Category 2 (significant) incidents,270
