year,value
1990/1991,100.0
1991/1992,100.48
1992/1993,94.46
1993/1994,94.7
1994/1995,95.26
1995/1996,98.55
1996/1997,98.02
1997/1998,96.5
1998/1999,95.11
1999/2000,92.57
2000/2001,85.02
2001/2002,93.72
2002/2003,91.3
2003/2004,90.67
2004/2005,87.87
2005/2006,85.12
2006/2007,84.42
2007/2008,85.53
2008/2009,84.97
2009/2010,87.29
2010/2011,88.04
2011/2012,85.35
2012/2013,88.08
2013/2014,88.86
2014/2015,91.4
2015/2016,89.87
2016/2017,90.47
2017/2018,91.6
2018/2019,91.33
2019/2020,90.76
2020/2021,87.93
2021/2022,83.6
2022/2023,81.82
