year,measure,value
1970,Smoothed index,100.0
1971,Smoothed index,100.37
1972,Smoothed index,100.14
1973,Smoothed index,99.71
1974,Smoothed index,99.33
1975,Smoothed index,99.28
1976,Smoothed index,98.93
1977,Smoothed index,97.46
1978,Smoothed index,96.36
1979,Smoothed index,95.56
1980,Smoothed index,94.62
1981,Smoothed index,93.78
1982,Smoothed index,94.06
1983,Smoothed index,94.34
1984,Smoothed index,93.96
1985,Smoothed index,92.79
1986,Smoothed index,91.89
1987,Smoothed index,91.61
1988,Smoothed index,91.32
1989,Smoothed index,91.79
1990,Smoothed index,92.35
1991,Smoothed index,92.32
1992,Smoothed index,91.92
1993,Smoothed index,91.56
1994,Smoothed index,92.1
1995,Smoothed index,93.39
1996,Smoothed index,94.13
1997,Smoothed index,94.33
1998,Smoothed index,93.25
1999,Smoothed index,93.14
2000,Smoothed index,93.61
2001,Smoothed index,94.55
2002,Smoothed index,95.21
2003,Smoothed index,95.95
2004,Smoothed index,95.49
2005,Smoothed index,95.31
2006,Smoothed index,95.12
2007,Smoothed index,91.74
2008,Smoothed index,90.79
2009,Smoothed index,91.9
2010,Smoothed index,92.29
2011,Smoothed index,92.26
2012,Smoothed index,89.06
2013,Smoothed index,89.86
2014,Smoothed index,88.24
2015,Smoothed index,86.15
2016,Smoothed index,83.68
1970,95% credible interval lower bound,100.0
1971,95% credible interval lower bound,98.65
1972,95% credible interval lower bound,97.8
1973,95% credible interval lower bound,97.02
1974,95% credible interval lower bound,96.56
1975,95% credible interval lower bound,96.37
1976,95% credible interval lower bound,96.07
1977,95% credible interval lower bound,94.6
1978,95% credible interval lower bound,93.5
1979,95% credible interval lower bound,92.6
1980,95% credible interval lower bound,91.72
1981,95% credible interval lower bound,90.95
1982,95% credible interval lower bound,91.2
1983,95% credible interval lower bound,91.42
1984,95% credible interval lower bound,91.12
1985,95% credible interval lower bound,89.99
1986,95% credible interval lower bound,89.16
1987,95% credible interval lower bound,88.92
1988,95% credible interval lower bound,88.59
1989,95% credible interval lower bound,89.0
1990,95% credible interval lower bound,89.6
1991,95% credible interval lower bound,89.65
1992,95% credible interval lower bound,89.24
1993,95% credible interval lower bound,88.97
1994,95% credible interval lower bound,89.43
1995,95% credible interval lower bound,90.72
1996,95% credible interval lower bound,91.45
1997,95% credible interval lower bound,91.79
1998,95% credible interval lower bound,90.73
1999,95% credible interval lower bound,90.65
2000,95% credible interval lower bound,90.98
2001,95% credible interval lower bound,91.97
2002,95% credible interval lower bound,92.67
2003,95% credible interval lower bound,93.33
2004,95% credible interval lower bound,92.91
2005,95% credible interval lower bound,92.8
2006,95% credible interval lower bound,92.51
2007,95% credible interval lower bound,89.12
2008,95% credible interval lower bound,88.2
2009,95% credible interval lower bound,89.32
2010,95% credible interval lower bound,89.5
2011,95% credible interval lower bound,89.49
2012,95% credible interval lower bound,86.24
2013,95% credible interval lower bound,86.96
2014,95% credible interval lower bound,85.28
2015,95% credible interval lower bound,82.71
2016,95% credible interval lower bound,79.39
1970,95% credible interval upper bound,100.0
1971,95% credible interval upper bound,102.18
1972,95% credible interval upper bound,102.56
1973,95% credible interval upper bound,102.47
1974,95% credible interval upper bound,102.2
1975,95% credible interval upper bound,102.16
1976,95% credible interval upper bound,101.77
1977,95% credible interval upper bound,100.27
1978,95% credible interval upper bound,99.2
1979,95% credible interval upper bound,98.47
1980,95% credible interval upper bound,97.52
1981,95% credible interval upper bound,96.74
1982,95% credible interval upper bound,97.06
1983,95% credible interval upper bound,97.32
1984,95% credible interval upper bound,96.93
1985,95% credible interval upper bound,95.71
1986,95% credible interval upper bound,94.7
1987,95% credible interval upper bound,94.37
1988,95% credible interval upper bound,94.06
1989,95% credible interval upper bound,94.58
1990,95% credible interval upper bound,95.21
1991,95% credible interval upper bound,95.11
1992,95% credible interval upper bound,94.62
1993,95% credible interval upper bound,94.26
1994,95% credible interval upper bound,94.73
1995,95% credible interval upper bound,96.14
1996,95% credible interval upper bound,96.86
1997,95% credible interval upper bound,96.98
1998,95% credible interval upper bound,95.94
1999,95% credible interval upper bound,95.77
2000,95% credible interval upper bound,96.23
2001,95% credible interval upper bound,97.24
2002,95% credible interval upper bound,97.9
2003,95% credible interval upper bound,98.64
2004,95% credible interval upper bound,98.14
2005,95% credible interval upper bound,97.97
2006,95% credible interval upper bound,97.81
2007,95% credible interval upper bound,94.42
2008,95% credible interval upper bound,93.47
2009,95% credible interval upper bound,94.67
2010,95% credible interval upper bound,95.2
2011,95% credible interval upper bound,95.13
2012,95% credible interval upper bound,92.12
2013,95% credible interval upper bound,93.05
2014,95% credible interval upper bound,91.52
2015,95% credible interval upper bound,89.65
2016,95% credible interval upper bound,87.94
